beta,local_norm,aggregate_norm
0.0000,2.249955,1.227255
0.0100,2.220136,1.211186
0.0200,2.190676,1.195706
0.0300,2.161577,1.180816
0.0400,2.132837,1.166514
0.0500,2.104458,1.152801
0.0600,2.076438,1.139678
0.0700,2.048779,1.127144
0.0800,2.021480,1.115198
0.0900,1.994540,1.103842
0.1000,1.967961,1.093075
0.1100,1.941741,1.082897
0.1200,1.915882,1.073308
0.1300,1.890382,1.064308
0.1400,1.865243,1.055897
0.1500,1.840463,1.048076
0.1600,1.816044,1.040843
0.1700,1.791984,1.034200
0.1800,1.768285,1.028145
0.1900,1.744945,1.022680
0.2000,1.721966,1.017803
0.2100,1.699346,1.013516
0.2200,1.677086,1.009818
0.2300,1.655187,1.006709
0.2400,1.633647,1.004189
0.2500,1.612468,1.002258
0.2600,1.591648,1.000916
0.2700,1.571189,1.000164
0.2800,1.551089,1.000000
0.2900,1.531349,1.000425
0.3000,1.511970,1.001440
0.3100,1.492950,1.003044
0.3200,1.474291,1.005236
0.3300,1.455991,1.008018
0.3400,1.438051,1.011389
0.3500,1.420472,1.015349
0.3600,1.403252,1.019898
0.3700,1.386392,1.025036
0.3800,1.369893,1.030763
0.3900,1.353753,1.037079
0.4000,1.337973,1.043985
0.4100,1.322554,1.051479
0.4200,1.307494,1.059563
0.4300,1.292794,1.068235
0.4400,1.278454,1.077497
0.4500,1.264475,1.087348
0.4600,1.250855,1.097788
0.4700,1.237595,1.108817
0.4800,1.224696,1.120435
0.4900,1.212156,1.132642
0.5000,1.199976,1.145438
0.5100,1.188156,1.158823
0.5200,1.176696,1.172797
0.5300,1.165597,1.187361
0.5400,1.154857,1.202513
0.5500,1.144477,1.218255
0.5600,1.134457,1.234586
0.5700,1.124798,1.251505
0.5800,1.115498,1.269014
0.5900,1.106558,1.287112
0.6000,1.097978,1.305799
0.6100,1.089758,1.325075
0.6200,1.081898,1.344940
0.6300,1.074399,1.365395
0.6400,1.067259,1.386438
0.6500,1.060479,1.408070
0.6600,1.054059,1.430292
0.6700,1.047999,1.453103
0.6800,1.042299,1.476502
0.6900,1.036959,1.500491
0.7000,1.031979,1.525069
0.7100,1.027359,1.550236
0.7200,1.023100,1.575992
0.7300,1.019200,1.602337
0.7400,1.015660,1.629271
0.7500,1.012480,1.656794
0.7600,1.009660,1.684906
0.7700,1.007200,1.713608
0.7800,1.005100,1.742898
0.7900,1.003360,1.772778
0.8000,1.001980,1.803246
0.8100,1.000960,1.834304
0.8200,1.000300,1.865951
0.8300,1.000000,1.898187
0.8400,1.000060,1.931012
0.8500,1.000480,1.964426
0.8600,1.001260,1.998429
0.8700,1.002400,2.033021
0.8800,1.003900,2.068203
0.8900,1.005760,2.103973
0.9000,1.007980,2.140333
0.9100,1.010560,2.177281
0.9200,1.013500,2.214819
0.9300,1.016800,2.252945
0.9400,1.020460,2.291661
0.9500,1.024480,2.330966
0.9600,1.028859,2.370860
0.9700,1.033599,2.411343
0.9800,1.038699,2.452415
0.9900,1.044159,2.494076
1.0000,1.049979,2.536327
